URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://molic-avc.gabriellesantosleandro.com/ValueSet/CVDComorbiditiesVS,0.0.0,active,,CVDComorbiditiesVS,Cardiovascular Comorbidities,"Valueset that indicate which comorbidities the patient is living with. Select all conditions that apply.",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/ConsciousnessVS,0.0.0,active,,ConsciousnessVS,State of Consciousness.,"ValueSet based on the ICHOM standard that indicates the patient's state of consciousness as measured upon arrival at the reference hospital.",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/DiagnosisVS,0.0.0,active,,DiagnosisVS,Diagnostic Evidence Base,"ValueSet that indicates which diagnostic evidence base was used for its realization",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/DischDestVS,0.0.0,active,,DischDestVS,Discharge Location,"ValueSet about discharge destination following acute care hospitalization. What type of place was the patient discharged to?",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/EstStrokeSevNIHSSCatVS,0.0.0,active,,EstStrokeSevNIHSSCatVS,Estimated stroke severity using the NIHSS.,"ValueSet that intended to categorize the severity of the stroke based on the National Institutes of Health Stroke Scale (NIHSS).",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/GenderIdentityVS,0.0.0,active,,GenderIdentityVS,Gender Identity,"ValueSet for Gender Identity based on LOINC.",,"LOINC"
https://molic-avc.gabriellesantosleandro.com/ValueSet/LiveAloneVS,0.0.0,active,,LiveAloneVS,Live Alone Pre-Stroke,"ValueSet indicating whether a patient lived alone prior to a stroke event based on ICHOM terminology.",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/LivingLocPostVS,0.0.0,active,,LivingLocPostVS,Patient's Residence Post to a Stroke,"ValueSet that represents the patient's most recent place of residence after the occurrence of a stroke based on ICHOM code.",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/LivingLocPreVS,0.0.0,active,,LivingLocPreVS,Patient's Residence Prior to a Stroke,"ValueSet that represents the patient's most recent place of residence before the occurrence of a stroke based on ICHOM code.",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/NoYesUnknownVS,0.0.0,active,,NoYesUnknownVS,Yes, No and Unknown,"ValueSet with responses Yes, No, and Unknown",,"THO (V2)"
https://molic-avc.gabriellesantosleandro.com/ValueSet/PROMIS10VS,0.0.0,active,,PROMIS10VS,PROMIS-10 Response Questionnaire,"ValueSet that defines the response values for the PROMIS-10 (Patient-Reported Outcomes Measurement Information System 10-item short form) Questionnaire.",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/SMRSqVS,0.0.0,active,,SMRSqVS,Simplified modified Ranking Scale questionnaire (SMRSq),"ValueSet that defines the response values for the simplified modified Ranking Scale questionnaire.",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/SmokingStatusVS,0.0.0,active,,SmokingStatusVS,Smoking Status,"ValueSet for Smoking Status. A person's current and past smoking behavior.",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/StrokeAmbVS,0.0.0,active,,StrokeAmbVS,Prestroke and Poststroke Functional Status: Ambulation,"ValueSet that defines the response values for the Prestroke and Poststroke Functional Status: Ambulation.",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/StrokeDressingVS,0.0.0,active,,StrokeDressingVS,Prestroke and Poststroke Functional Status: Dressing,"ValueSet that defines the response values for the Prestroke and Poststroke Functional Status: Dressing.",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/StrokeToiletingVS,0.0.0,active,,StrokeToiletingVS,Prestroke and Poststroke Functional Status: Toileting,"ValueSet that defines the response values for the Prestroke and Poststroke Functional Status: Toileting.",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/StrokeTypeVS,0.0.0,active,,StrokeTypeVS,Stroke type based on ICHOM,"ValueSet that aims to categorize the stroke type according to the ICHOM standard.",,"Internal"
https://molic-avc.gabriellesantosleandro.com/ValueSet/SymtDurVS,0.0.0,active,,SymtDurVS,Duration of Stroke Symptoms,"ValueSet that categorizes the duration of stroke symptoms, considering the time from symptom onset to admission at the reference hospital.",,"Internal"
