URL,Version,Status,OIDs,Name,Title,Descriptino,Used
https://molic-avc.gabriellesantosleandro.com/CodeSystem/CVDComorbiditiesCS,0.0.0,active,,CVDComorbiditiesCS,Cardiovascular Comorbidities,"CodeSystem that indicate which comorbidities the patient is living with. Select all conditions that apply.",
https://molic-avc.gabriellesantosleandro.com/CodeSystem/ConsciousnessCS,0.0.0,active,,ConsciousnessCS,State of Consciousness according to the ICHOM standard,"CodeSystem based on the ICHOM standard that indicates the patient's state of consciousness as measured upon arrival at the reference hospital.",
https://molic-avc.gabriellesantosleandro.com/CodeSystem/DiagnosisCS,0.0.0,active,,DiagnosisCS,Diagnostic Evidence Base,"CodeSystem that indicates which diagnostic evidence base was used for its realization",
https://molic-avc.gabriellesantosleandro.com/CodeSystem/DischDestCS,0.0.0,active,,DischDestCS,Discharge Location,"CodeSystem about Discharge destination following acute care hospitalization. What type of place was the patient discharged to?",
https://molic-avc.gabriellesantosleandro.com/CodeSystem/EstStrokeSevNIHSSCatCS,0.0.0,active,,EstStrokeSevNIHSSCatCS,Estimated stroke severity using the NIHSS.,"CodeSystem that intends to categorize the severity of the stroke based on the National Institutes of Health Stroke Scale (NIHSS).",
https://molic-avc.gabriellesantosleandro.com/CodeSystem/LiveAloneCS,0.0.0,active,,LiveAloneCS,Live Alone Pre-Stroke,"CodeSystem indicating whether a patient lived alone prior to a stroke event based on ICHOM terminology.",
https://molic-avc.gabriellesantosleandro.com/CodeSystem/LivingLocPostCS,0.0.0,active,,LivingLocPostCS,Patient's Residence Post to a Stroke,"CodeSystem that represents the patient's most recent place of residence after the occurrence of a stroke based on ICHOM code.",
https://molic-avc.gabriellesantosleandro.com/CodeSystem/LivingLocPreCS,0.0.0,active,,LivingLocPreCS,Patient's Residence Prior to a Stroke,"CodeSystem that represents the patient's most recent place of residence before the occurrence of a stroke based on ICHOM code.",
https://molic-avc.gabriellesantosleandro.com/CodeSystem/PROMIS10VS,0.0.0,active,,PROMIS10CS,PROMIS-10 Response Questionnaire,"CodeSystem that defines the response values for the PROMIS-10 (Patient-Reported Outcomes Measurement Information System 10-item short form) Questionnaire.",
https://molic-avc.gabriellesantosleandro.com/CodeSystem/SMRSqCS,0.0.0,active,,SMRSqCS,Simplified Modified Ranking Scale questionnaire (sMRSq),"CodeSystem that defines the response values for the simplified modified Ranking Scale questionnaire (sMRSq).",
https://molic-avc.gabriellesantosleandro.com/CodeSystem/SmokingStatusCS,0.0.0,active,,SmokingStatusCS,Smoking Status,"CodeSystem for Smoking Status. A person's current and past smoking behavior.",
https://molic-avc.gabriellesantosleandro.com/CodeSystem/StrokeFuncStatusCS,0.0.0,active,,StrokeFuncStatusCS,Prestroke and Poststroke Functional Status,"CodeSystem that defines the response values for the Prestroke and Poststroke Functional Status.",
https://molic-avc.gabriellesantosleandro.com/CodeSystem/StrokeTypeCS,0.0.0,active,,StrokeTypeCS,Stroke Type,"CodeSystem that aims to categorize the stroke type according to the ICHOM standard.",
https://molic-avc.gabriellesantosleandro.com/CodeSystem/SymtDurCS,0.0.0,active,,SymtDurCS,Duration of Stroke Symptoms,"CodeSystem that categorizes the duration of stroke symptoms, considering the time from symptom onset to admission at the reference hospital.",
